"DATE_NAME","GEOGRAPHY_CODE","GEOGRAPHY_NAME","OBS_VALUE"
"2017","W01000200","Denbighshire 008A",1315
"2017","W01000201","Denbighshire 008B",1515
"2017","W01000202","Denbighshire 015B",1646
"2017","W01000203","Denbighshire 013A",2505
"2017","W01000204","Denbighshire 013B",1433
"2017","W01000205","Denbighshire 016B",1183
"2017","W01000206","Denbighshire 013C",2116
"2017","W01000207","Denbighshire 015C",2302
"2017","W01000208","Denbighshire 016C",1149
"2017","W01000209","Denbighshire 016D",1604
"2017","W01000210","Denbighshire 016E",1347
"2017","W01000211","Denbighshire 012D",1897
"2017","W01000212","Denbighshire 003A",2116
"2017","W01000213","Denbighshire 002A",1417
"2017","W01000214","Denbighshire 002B",1105
"2017","W01000215","Denbighshire 002C",1471
"2017","W01000216","Denbighshire 002D",1379
"2017","W01000217","Denbighshire 008C",1973
"2017","W01000218","Denbighshire 001A",1530
"2017","W01000219","Denbighshire 001B",2692
"2017","W01000220","Denbighshire 001C",1662
"2017","W01000221","Denbighshire 003B",1337
"2017","W01000222","Denbighshire 003C",1736
"2017","W01000223","Denbighshire 009B",1238
"2017","W01000224","Denbighshire 009C",1410
"2017","W01000225","Denbighshire 009D",1504
"2017","W01000226","Denbighshire 004A",1508
"2017","W01000227","Denbighshire 004B",1640
"2017","W01000228","Denbighshire 004C",1459
"2017","W01000229","Denbighshire 017E",1647
"2017","W01000230","Denbighshire 017F",1927
"2017","W01000231","Denbighshire 017A",1353
"2017","W01000232","Denbighshire 017B",1597
"2017","W01000233","Denbighshire 017C",1304
"2017","W01000234","Denbighshire 017G",1609
"2017","W01000235","Denbighshire 017D",1283
"2017","W01000236","Denbighshire 006A",1916
"2017","W01000237","Denbighshire 006B",1888
"2017","W01000238","Denbighshire 006C",1693
"2017","W01000239","Denbighshire 004D",1676
"2017","W01000240","Denbighshire 004E",1574
"2017","W01000241","Denbighshire 004F",1434
"2017","W01000242","Denbighshire 014A",1957
"2017","W01000243","Denbighshire 014B",2040
"2017","W01000244","Denbighshire 014C",1669
"2017","W01000245","Denbighshire 010A",1746
"2017","W01000246","Denbighshire 010B",1688
"2017","W01000247","Denbighshire 010C",1924
"2017","W01000248","Denbighshire 008D",1662
"2017","W01000249","Flintshire 014A",1195
"2017","W01000250","Flintshire 014B",1569
"2017","W01000251","Flintshire 013A",1596
"2017","W01000252","Flintshire 010A",1655
"2017","W01000253","Flintshire 003A",1884
"2017","W01000254","Flintshire 003B",2227
"2017","W01000255","Flintshire 015A",2314
"2017","W01000256","Flintshire 015B",1568
"2017","W01000257","Flintshire 015C",2431
"2017","W01000258","Flintshire 006A",2144
"2017","W01000259","Flintshire 017A",1577
"2017","W01000260","Flintshire 017B",1740
"2017","W01000261","Flintshire 014C",1518
"2017","W01000262","Flintshire 017C",1508
"2017","W01000263","Flintshire 017D",1443
"2017","W01000264","Flintshire 012A",1822
"2017","W01000265","Flintshire 012B",1514
"2017","W01000266","Flintshire 017E",1726
"2017","W01000267","Flintshire 017F",2003
"2017","W01000268","Flintshire 013B",1675
"2017","W01000269","Flintshire 020A",1596
"2017","W01000270","Flintshire 006B",1276
"2017","W01000271","Flintshire 006C",1261
"2017","W01000272","Flintshire 006D",1801
"2017","W01000273","Flintshire 007A",1593
"2017","W01000274","Flintshire 007B",1731
"2017","W01000275","Flintshire 007C",1262
"2017","W01000276","Flintshire 008A",1331
"2017","W01000277","Flintshire 008B",1363
"2017","W01000278","Flintshire 007D",1519
"2017","W01000279","Flintshire 008C",1218
"2017","W01000280","Flintshire 010B",1633
"2017","W01000281","Flintshire 008D",1204
"2017","W01000282","Flintshire 010C",1713
"2017","W01000283","Flintshire 008E",2276
"2017","W01000284","Flintshire 013C",1740
"2017","W01000285","Flintshire 013D",1433
"2017","W01000286","Flintshire 013E",2238
"2017","W01000287","Flintshire 001A",1742
"2017","W01000288","Flintshire 004A",2112
"2017","W01000289","Flintshire 005A",1354
"2017","W01000290","Flintshire 004B",1197
"2017","W01000291","Flintshire 005B",1341
"2017","W01000292","Flintshire 004C",1506
"2017","W01000293","Flintshire 004D",1729
"2017","W01000294","Flintshire 005C",1918
"2017","W01000295","Flintshire 005D",1644
"2017","W01000296","Flintshire 003C",1523
"2017","W01000297","Flintshire 003D",1295
"2017","W01000298","Flintshire 001B",1524
"2017","W01000299","Flintshire 019A",1960
"2017","W01000300","Flintshire 019B",1667
"2017","W01000301","Flintshire 006E",1708
"2017","W01000302","Flintshire 013F",2035
"2017","W01000303","Flintshire 018A",1648
"2017","W01000304","Flintshire 003E",2029
"2017","W01000305","Flintshire 003F",1829
"2017","W01000306","Flintshire 002A",2498
"2017","W01000307","Flintshire 020B",1526
"2017","W01000308","Flintshire 020C",1238
"2017","W01000309","Flintshire 019C",2200
"2017","W01000310","Flintshire 020D",1851
"2017","W01000311","Flintshire 011A",1770
"2017","W01000312","Flintshire 011B",1699
"2017","W01000313","Flintshire 016A",1588
"2017","W01000314","Flintshire 016B",1147
"2017","W01000315","Flintshire 016C",1958
"2017","W01000316","Flintshire 016D",1247
"2017","W01000317","Flintshire 016E",1442
"2017","W01000318","Flintshire 016F",1277
"2017","W01000319","Flintshire 016G",1483
"2017","W01000320","Flintshire 002B",1973
"2017","W01000321","Flintshire 014D",1656
"2017","W01000322","Flintshire 014E",1324
"2017","W01000323","Flintshire 012C",1565
"2017","W01000324","Flintshire 012D",1441
"2017","W01000325","Flintshire 010D",1530
"2017","W01000326","Flintshire 018B",2146
"2017","W01000327","Flintshire 018C",2336
"2017","W01000328","Flintshire 011C",2154
"2017","W01000329","Flintshire 015D",1462
"2017","W01000330","Flintshire 015E",2293
"2017","W01000331","Flintshire 015F",1548
"2017","W01000332","Flintshire 009A",1558
"2017","W01000333","Flintshire 009B",1544
"2017","W01000334","Flintshire 009C",1994
"2017","W01000335","Flintshire 009D",1106
"2017","W01000336","Flintshire 009E",1584
"2017","W01000337","Flintshire 009F",2258
"2017","W01000338","Flintshire 001C",1782
"2017","W01000339","Flintshire 019D",1664
"2017","W01000340","Flintshire 002C",2255
"2017","W01000341","Wrexham 009A",1597
"2017","W01000342","Wrexham 009B",1612
"2017","W01000343","Wrexham 007A",1040
"2017","W01000344","Wrexham 007B",1231
"2017","W01000345","Wrexham 018A",1598
"2017","W01000346","Wrexham 018B",1552
"2017","W01000347","Wrexham 006A",2933
"2017","W01000348","Wrexham 006B",1393
"2017","W01000349","Wrexham 011A",2070
"2017","W01000350","Wrexham 011B",1532
"2017","W01000351","Wrexham 005A",2217
"2017","W01000352","Wrexham 010A",1004
"2017","W01000353","Wrexham 010B",1383
"2017","W01000354","Wrexham 017A",1761
"2017","W01000355","Wrexham 017B",1703
"2017","W01000356","Wrexham 017C",1662
"2017","W01000359","Wrexham 019C",1157
"2017","W01000360","Wrexham 019D",1255
"2017","W01000361","Wrexham 019E",2027
"2017","W01000362","Wrexham 006C",1629
"2017","W01000363","Wrexham 006D",1542
"2017","W01000364","Wrexham 006E",1675
"2017","W01000365","Wrexham 011C",2097
"2017","W01000366","Wrexham 014A",1473
"2017","W01000367","Wrexham 014B",1287
"2017","W01000368","Wrexham 008A",2060
"2017","W01000369","Wrexham 020F",1298
"2017","W01000370","Wrexham 020G",1419
"2017","W01000371","Wrexham 008B",1140
"2017","W01000372","Wrexham 008C",1337
"2017","W01000373","Wrexham 005B",1827
"2017","W01000374","Wrexham 003A",1379
"2017","W01000375","Wrexham 003B",2224
"2017","W01000376","Wrexham 003C",1375
"2017","W01000377","Wrexham 004A",1563
"2017","W01000378","Wrexham 004B",1361
"2017","W01000379","Wrexham 004C",1690
"2017","W01000380","Wrexham 004D",1399
"2017","W01000381","Wrexham 012A",1088
"2017","W01000382","Wrexham 012B",1283
"2017","W01000383","Wrexham 020A",2778
"2017","W01000384","Wrexham 020B",1058
"2017","W01000385","Wrexham 014C",1644
"2017","W01000386","Wrexham 015A",1493
"2017","W01000387","Wrexham 008D",1177
"2017","W01000388","Wrexham 008E",1064
"2017","W01000389","Wrexham 017D",2037
"2017","W01000390","Wrexham 020C",1588
"2017","W01000391","Wrexham 003D",1457
"2017","W01000392","Wrexham 003E",1712
"2017","W01000393","Wrexham 009C",1939
"2017","W01000394","Wrexham 016A",1221
"2017","W01000395","Wrexham 016B",1116
"2017","W01000396","Wrexham 020H",1216
"2017","W01000397","Wrexham 020I",980
"2017","W01000398","Wrexham 013A",1267
"2017","W01000399","Wrexham 013B",1093
"2017","W01000400","Wrexham 005C",1910
"2017","W01000401","Wrexham 005D",1885
"2017","W01000402","Wrexham 011D",2451
"2017","W01000403","Wrexham 018C",1348
"2017","W01000404","Wrexham 018D",2119
"2017","W01000405","Wrexham 015B",2314
"2017","W01000406","Wrexham 013C",2227
"2017","W01000407","Wrexham 016C",1328
"2017","W01000408","Wrexham 013D",1150
"2017","W01000409","Wrexham 017E",2067
"2017","W01000410","Wrexham 014D",1674
"2017","W01000411","Wrexham 015C",1622
"2017","W01000412","Wrexham 015D",1580
"2017","W01000413","Wrexham 010C",1396
"2017","W01000414","Wrexham 010D",1244
"2017","W01000415","Wrexham 007C",1381
"2017","W01000416","Wrexham 007D",1237
"2017","W01000417","Wrexham 020D",1501
"2017","W01000418","Wrexham 020E",1706
"2017","W01000419","Wrexham 016D",1580
"2017","W01000420","Wrexham 016E",1449
"2017","W01000422","Wrexham 008F",2110
"2017","W01000423","Wrexham 012D",2250
"2017","W01000424","Wrexham 012E",1230
"2017","W01000425","Wrexham 010E",2260
"2017","W01000426","Powys 021A",1473
"2017","W01000427","Powys 011A",1417
"2017","W01000428","Powys 005A",1339
"2017","W01000429","Powys 010A",2292
"2017","W01000430","Powys 015A",1347
"2017","W01000431","Powys 014A",1240
"2017","W01000432","Powys 014B",1159
"2017","W01000433","Powys 006A",2292
"2017","W01000434","Powys 007A",1618
"2017","W01000438","Powys 012A",1225
"2017","W01000439","Powys 007B",1990
"2017","W01000440","Powys 020A",1364
"2017","W01000441","Powys 005B",1491
"2017","W01000442","Powys 004A",2040
"2017","W01000443","Powys 015B",2338
"2017","W01000444","Powys 002A",2329
"2017","W01000445","Powys 015C",1538
"2017","W01000446","Powys 015D",1512
"2017","W01000447","Powys 007C",2001
"2017","W01000448","Powys 011B",1384
"2017","W01000449","Powys 011C",1546
"2017","W01000450","Powys 014C",1368
"2017","W01000451","Powys 012B",1139
"2017","W01000452","Powys 004B",1933
"2017","W01000453","Powys 010B",1408
"2017","W01000454","Powys 013A",1300
"2017","W01000455","Powys 013B",2211
"2017","W01000456","Powys 013C",2057
"2017","W01000457","Powys 002B",2091
"2017","W01000458","Powys 002C",1717
"2017","W01000459","Powys 014D",1196
"2017","W01000460","Powys 006B",1726
"2017","W01000461","Powys 001A",1485
"2017","W01000464","Powys 011D",1194
"2017","W01000465","Powys 018E",1035
"2017","W01000466","Powys 010C",1330
"2017","W01000467","Powys 010D",1474
"2017","W01000470","Powys 001D",1965
"2017","W01000471","Powys 014E",1815
"2017","W01000472","Powys 012C",1245
"2017","W01000473","Powys 004C",2213
"2017","W01000474","Powys 020B",1742
"2017","W01000475","Powys 001E",2419
"2017","W01000476","Powys 005C",1265
"2017","W01000477","Powys 012D",1422
"2017","W01000478","Powys 009A",1884
"2017","W01000479","Powys 009B",1453
"2017","W01000480","Powys 008A",2109
"2017","W01000481","Powys 008B",2158
"2017","W01000482","Powys 008C",1948
"2017","W01000483","Powys 009C",1767
"2017","W01000484","Powys 011E",1527
"2017","W01000485","Powys 011F",1591
"2017","W01000486","Powys 011G",1095
"2017","W01000487","Powys 012E",2102
"2017","W01000488","Powys 006C",2210
"2017","W01000489","Powys 017A",2112
"2017","W01000492","Powys 017D",1591
"2017","W01000493","Powys 017E",1486
"2017","W01000494","Powys 015E",1691
"2017","W01000496","Powys 021B",1987
"2017","W01000497","Powys 005D",1343
"2017","W01000498","Powys 003A",1488
"2017","W01000499","Powys 003B",1274
"2017","W01000500","Powys 003C",1498
"2017","W01000501","Powys 003D",2408
"2017","W01000502","Powys 021C",2030
"2017","W01000503","Powys 020C",1063
"2017","W01000504","Powys 021D",1166
"2017","W01000505","Powys 021E",1418
"2017","W01000506","Ceredigion 005A",1333
"2017","W01000507","Ceredigion 009A",1274
"2017","W01000508","Ceredigion 009B",1149
"2017","W01000509","Ceredigion 009C",1809
"2017","W01000510","Ceredigion 009D",1171
"2017","W01000511","Ceredigion 009E",1223
"2017","W01000512","Ceredigion 002A",1441
"2017","W01000513","Ceredigion 002B",2380
"2017","W01000515","Ceredigion 003A",1351
"2017","W01000516","Ceredigion 003B",1637
"2017","W01000517","Ceredigion 002D",1331
"2017","W01000518","Ceredigion 003C",1092
"2017","W01000519","Ceredigion 010A",1630
"2017","W01000522","Ceredigion 010B",1192
"2017","W01000523","Ceredigion 001C",1846
"2017","W01000524","Ceredigion 005B",1959
"2017","W01000525","Ceredigion 011A",1191
"2017","W01000527","Ceredigion 008A",1461
"2017","W01000528","Ceredigion 008B",1473
"2017","W01000529","Ceredigion 007A",1590
"2017","W01000531","Ceredigion 010C",1793
"2017","W01000532","Ceredigion 007B",1909
"2017","W01000533","Ceredigion 010D",1389
"2017","W01000534","Ceredigion 011B",1488
"2017","W01000535","Ceredigion 008C",2054
"2017","W01000536","Ceredigion 011E",1371
"2017","W01000537","Ceredigion 008D",1457
"2017","W01000538","Ceredigion 005C",1490
"2017","W01000539","Ceredigion 005D",1188
"2017","W01000540","Ceredigion 005E",1155
