Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E07000028,Carlisle,Male,77.29
2020 to 2022,England,Local Areas,E07000028,Carlisle,Female,81.47
2020 to 2022,England,Local Areas,E07000029,Copeland,Male,77.16
2020 to 2022,England,Local Areas,E07000029,Copeland,Female,80.38
2020 to 2022,England,Local Areas,E07000030,Eden,Male,81.21
2020 to 2022,England,Local Areas,E07000030,Eden,Female,84.83
2020 to 2022,England,Local Areas,E07000031,South Lakeland,Male,80.39
2020 to 2022,England,Local Areas,E07000031,South Lakeland,Female,84.42
2020 to 2022,England,Local Areas,E07000032,Amber Valley,Male,78.82
2020 to 2022,England,Local Areas,E07000032,Amber Valley,Female,82.45
2020 to 2022,England,Local Areas,E07000033,Bolsover,Male,76.89
2020 to 2022,England,Local Areas,E07000033,Bolsover,Female,80.44
2020 to 2022,England,Local Areas,E07000034,Chesterfield,Male,77.64
2020 to 2022,England,Local Areas,E07000034,Chesterfield,Female,81.18
2020 to 2022,England,Local Areas,E07000035,Derbyshire Dales,Male,80.6
2020 to 2022,England,Local Areas,E07000035,Derbyshire Dales,Female,84.44
2020 to 2022,England,Local Areas,E07000036,Erewash,Male,77.93
2020 to 2022,England,Local Areas,E07000036,Erewash,Female,81.69
2020 to 2022,England,Local Areas,E07000037,High Peak,Male,79.06
2020 to 2022,England,Local Areas,E07000037,High Peak,Female,82.54
2020 to 2022,England,Local Areas,E07000038,North East Derbyshire,Male,79.1
2020 to 2022,England,Local Areas,E07000038,North East Derbyshire,Female,82.53
2020 to 2022,England,Local Areas,E07000039,South Derbyshire,Male,79.21
2020 to 2022,England,Local Areas,E07000039,South Derbyshire,Female,83.34
2020 to 2022,England,Local Areas,E07000040,East Devon,Male,81.81
2020 to 2022,England,Local Areas,E07000040,East Devon,Female,85.17
2020 to 2022,England,Local Areas,E07000041,Exeter,Male,79.15
2020 to 2022,England,Local Areas,E07000041,Exeter,Female,84.31
2020 to 2022,England,Local Areas,E07000042,Mid Devon,Male,81.28
2020 to 2022,England,Local Areas,E07000042,Mid Devon,Female,84.24
2020 to 2022,England,Local Areas,E07000043,North Devon,Male,79.44
2020 to 2022,England,Local Areas,E07000043,North Devon,Female,84.58
2020 to 2022,England,Local Areas,E07000044,South Hams,Male,82.16
2020 to 2022,England,Local Areas,E07000044,South Hams,Female,85.86
2020 to 2022,England,Local Areas,E07000045,Teignbridge,Male,80.01
2020 to 2022,England,Local Areas,E07000045,Teignbridge,Female,84.47
2020 to 2022,England,Local Areas,E07000046,Torridge,Male,80.7
2020 to 2022,England,Local Areas,E07000046,Torridge,Female,84.12
2020 to 2022,England,Local Areas,E07000047,West Devon,Male,80.7
2020 to 2022,England,Local Areas,E07000047,West Devon,Female,84.71
2020 to 2022,England,Local Areas,E07000061,Eastbourne,Male,78.75
