Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E07000198,Staffordshire Moorlands,Male,79.88
2020 to 2022,England,Local Areas,E07000198,Staffordshire Moorlands,Female,83.23
2020 to 2022,England,Local Areas,E07000199,Tamworth,Male,78.32
2020 to 2022,England,Local Areas,E07000199,Tamworth,Female,82.26
2020 to 2022,England,Local Areas,E07000200,Babergh,Male,81.44
2020 to 2022,England,Local Areas,E07000200,Babergh,Female,84.59
2020 to 2022,England,Local Areas,E07000202,Ipswich,Male,78.94
2020 to 2022,England,Local Areas,E07000202,Ipswich,Female,82.76
2020 to 2022,England,Local Areas,E07000203,Mid Suffolk,Male,81.05
2020 to 2022,England,Local Areas,E07000203,Mid Suffolk,Female,84.63
2020 to 2022,England,Local Areas,E07000207,Elmbridge,Male,82.09
2020 to 2022,England,Local Areas,E07000207,Elmbridge,Female,85.32
2020 to 2022,England,Local Areas,E07000208,Epsom and Ewell,Male,81.17
2020 to 2022,England,Local Areas,E07000208,Epsom and Ewell,Female,84.8
2020 to 2022,England,Local Areas,E07000209,Guildford,Male,81.86
2020 to 2022,England,Local Areas,E07000209,Guildford,Female,85.04
2020 to 2022,England,Local Areas,E07000210,Mole Valley,Male,81.42
2020 to 2022,England,Local Areas,E07000210,Mole Valley,Female,85.05
2020 to 2022,England,Local Areas,E07000211,Reigate and Banstead,Male,80.77
2020 to 2022,England,Local Areas,E07000211,Reigate and Banstead,Female,84.04
2020 to 2022,England,Local Areas,E07000212,Runnymede,Male,80.02
2020 to 2022,England,Local Areas,E07000212,Runnymede,Female,83.93
2020 to 2022,England,Local Areas,E07000213,Spelthorne,Male,80.22
2020 to 2022,England,Local Areas,E07000213,Spelthorne,Female,84.46
2020 to 2022,England,Local Areas,E07000214,Surrey Heath,Male,81.36
2020 to 2022,England,Local Areas,E07000214,Surrey Heath,Female,84.12
2020 to 2022,England,Local Areas,E07000215,Tandridge,Male,80.5
2020 to 2022,England,Local Areas,E07000215,Tandridge,Female,84.96
2020 to 2022,England,Local Areas,E07000216,Waverley,Male,81.94
2020 to 2022,England,Local Areas,E07000216,Waverley,Female,85.32
2020 to 2022,England,Local Areas,E07000217,Woking,Male,80.36
2020 to 2022,England,Local Areas,E07000217,Woking,Female,83.8
2020 to 2022,England,Local Areas,E07000218,North Warwickshire,Male,78.13
2020 to 2022,England,Local Areas,E07000218,North Warwickshire,Female,82.19
2020 to 2022,England,Local Areas,E07000219,Nuneaton and Bedworth,Male,77.49
2020 to 2022,England,Local Areas,E07000219,Nuneaton and Bedworth,Female,81.53
2020 to 2022,England,Local Areas,E07000220,Rugby,Male,79.41
2020 to 2022,England,Local Areas,E07000220,Rugby,Female,83
2020 to 2022,England,Local Areas,E07000221,Stratford-on-Avon,Male,80.95
2020 to 2022,England,Local Areas,E07000221,Stratford-on-Avon,Female,84.73
2020 to 2022,England,Local Areas,E07000222,Warwick,Male,80.11
2020 to 2022,England,Local Areas,E07000222,Warwick,Female,83.54
2020 to 2022,England,Local Areas,E07000223,Adur,Male,80.55
2020 to 2022,England,Local Areas,E07000223,Adur,Female,84.18
2020 to 2022,England,Local Areas,E07000224,Arun,Male,79.18
2020 to 2022,England,Local Areas,E07000224,Arun,Female,83.75
2020 to 2022,England,Local Areas,E07000225,Chichester,Male,80.04
2020 to 2022,England,Local Areas,E07000225,Chichester,Female,84.18
2020 to 2022,England,Local Areas,E07000226,Crawley,Male,79.83
2020 to 2022,England,Local Areas,E07000226,Crawley,Female,83.65
2020 to 2022,England,Local Areas,E07000227,Horsham,Male,81.82
2020 to 2022,England,Local Areas,E07000227,Horsham,Female,85.19
2020 to 2022,England,Local Areas,E07000228,Mid Sussex,Male,81.06
2020 to 2022,England,Local Areas,E07000228,Mid Sussex,Female,84.86
2020 to 2022,England,Local Areas,E07000229,Worthing,Male,79.37
2020 to 2022,England,Local Areas,E07000229,Worthing,Female,82.84
2020 to 2022,England,Local Areas,E07000234,Bromsgrove,Male,79.77
2020 to 2022,England,Local Areas,E07000234,Bromsgrove,Female,83.75
2020 to 2022,England,Local Areas,E07000235,Malvern Hills,Male,80.93
2020 to 2022,England,Local Areas,E07000235,Malvern Hills,Female,83.71
2020 to 2022,England,Local Areas,E07000236,Redditch,Male,78.58
2020 to 2022,England,Local Areas,E07000236,Redditch,Female,81.8
2020 to 2022,England,Local Areas,E07000237,Worcester,Male,79.05
2020 to 2022,England,Local Areas,E07000237,Worcester,Female,82.48
2020 to 2022,England,Local Areas,E07000238,Wychavon,Male,79.87
2020 to 2022,England,Local Areas,E07000238,Wychavon,Female,84.2
2020 to 2022,England,Local Areas,E07000239,Wyre Forest,Male,78.69
2020 to 2022,England,Local Areas,E07000239,Wyre Forest,Female,82.36
2020 to 2022,England,Local Areas,E07000240,St Albans,Male,81.59
2020 to 2022,England,Local Areas,E07000240,St Albans,Female,85.22
2020 to 2022,England,Local Areas,E07000241,Welwyn Hatfield,Male,80.17
2020 to 2022,England,Local Areas,E07000241,Welwyn Hatfield,Female,83.9
2020 to 2022,England,Local Areas,E07000242,East Hertfordshire,Male,81.29
2020 to 2022,England,Local Areas,E07000242,East Hertfordshire,Female,84.72
2020 to 2022,England,Local Areas,E07000243,Stevenage,Male,79.27
2020 to 2022,England,Local Areas,E07000243,Stevenage,Female,82.24
2020 to 2022,England,Local Areas,E07000244,East Suffolk,Male,79.94
2020 to 2022,England,Local Areas,E07000244,East Suffolk,Female,83.47
2020 to 2022,England,Local Areas,E07000245,West Suffolk,Male,80.56
2020 to 2022,England,Local Areas,E07000245,West Suffolk,Female,84.12
2020 to 2022,England,Local Areas,E07000246,Somerset West and Taunton,Male,80.02
2020 to 2022,England,Local Areas,E07000246,Somerset West and Taunton,Female,83.8
2020 to 2022,England,Local Areas,E08000001,Bolton,Male,76.63
2020 to 2022,England,Local Areas,E08000001,Bolton,Female,80.74
2020 to 2022,England,Local Areas,E08000002,Bury,Male,77.22
2020 to 2022,England,Local Areas,E08000002,Bury,Female,80.92
2020 to 2022,England,Local Areas,E08000003,Manchester,Male,74.8
2020 to 2022,England,Local Areas,E08000003,Manchester,Female,79.22
2020 to 2022,England,Local Areas,E08000004,Oldham,Male,76.33
2020 to 2022,England,Local Areas,E08000004,Oldham,Female,80.06
2020 to 2022,England,Local Areas,E08000005,Rochdale,Male,75.67
2020 to 2022,England,Local Areas,E08000005,Rochdale,Female,80.4
2020 to 2022,England,Local Areas,E08000006,Salford,Male,75.88
2020 to 2022,England,Local Areas,E08000006,Salford,Female,80.09
2020 to 2022,England,Local Areas,E08000007,Stockport,Male,78.85
2020 to 2022,England,Local Areas,E08000007,Stockport,Female,83.35
2020 to 2022,England,Local Areas,E08000008,Tameside,Male,76.27
2020 to 2022,England,Local Areas,E08000008,Tameside,Female,80.15
2020 to 2022,England,Local Areas,E08000009,Trafford,Male,79.37
2020 to 2022,England,Local Areas,E08000009,Trafford,Female,83.3
2020 to 2022,England,Local Areas,E08000010,Wigan,Male,77.01
2020 to 2022,England,Local Areas,E08000010,Wigan,Female,80.65
2020 to 2022,England,Local Areas,E08000011,Knowsley,Male,75.89
2020 to 2022,England,Local Areas,E08000011,Knowsley,Female,79.32
2020 to 2022,England,Local Areas,E08000012,Liverpool,Male,75.32
2020 to 2022,England,Local Areas,E08000012,Liverpool,Female,79.31
2020 to 2022,England,Local Areas,E08000013,St. Helens,Male,76.73
2020 to 2022,England,Local Areas,E08000013,St. Helens,Female,80.43
2020 to 2022,England,Local Areas,E08000014,Sefton,Male,77.47
2020 to 2022,England,Local Areas,E08000014,Sefton,Female,81.41
2020 to 2022,England,Local Areas,E08000015,Wirral,Male,76.99
2020 to 2022,England,Local Areas,E08000015,Wirral,Female,81.5
2020 to 2022,England,Local Areas,E08000016,Barnsley,Male,76.08
2020 to 2022,England,Local Areas,E08000016,Barnsley,Female,79.91
2020 to 2022,England,Local Areas,E08000017,Doncaster,Male,76.78
2020 to 2022,England,Local Areas,E08000017,Doncaster,Female,80.56
2020 to 2022,England,Local Areas,E08000018,Rotherham,Male,77.08
2020 to 2022,England,Local Areas,E08000018,Rotherham,Female,80.19
2020 to 2022,England,Local Areas,E08000019,Sheffield,Male,78.07
2020 to 2022,England,Local Areas,E08000019,Sheffield,Female,81.83
2020 to 2022,England,Local Areas,E08000021,Newcastle upon Tyne,Male,77.15
2020 to 2022,England,Local Areas,E08000021,Newcastle upon Tyne,Female,81.68
2020 to 2022,England,Local Areas,E08000022,North Tyneside,Male,77.86
2020 to 2022,England,Local Areas,E08000022,North Tyneside,Female,82.08
2020 to 2022,England,Local Areas,E08000023,South Tyneside,Male,76.6
2020 to 2022,England,Local Areas,E08000023,South Tyneside,Female,80.75
2020 to 2022,England,Local Areas,E08000024,Sunderland,Male,76.11
2020 to 2022,England,Local Areas,E08000024,Sunderland,Female,80.58
2020 to 2022,England,Local Areas,E08000025,Birmingham,Male,76.34
2020 to 2022,England,Local Areas,E08000025,Birmingham,Female,81.08
2020 to 2022,England,Local Areas,E08000026,Coventry,Male,76.82
2020 to 2022,England,Local Areas,E08000026,Coventry,Female,81.6
2020 to 2022,England,Local Areas,E08000027,Dudley,Male,78.33
2020 to 2022,England,Local Areas,E08000027,Dudley,Female,82.35
2020 to 2022,England,Local Areas,E08000028,Sandwell,Male,75.68
2020 to 2022,England,Local Areas,E08000028,Sandwell,Female,80.55
2020 to 2022,England,Local Areas,E08000029,Solihull,Male,79.52
2020 to 2022,England,Local Areas,E08000029,Solihull,Female,83.61
2020 to 2022,England,Local Areas,E08000030,Walsall,Male,76.9
2020 to 2022,England,Local Areas,E08000030,Walsall,Female,81.23
2020 to 2022,England,Local Areas,E08000031,Wolverhampton,Male,76.33
2020 to 2022,England,Local Areas,E08000031,Wolverhampton,Female,80.43
2020 to 2022,England,Local Areas,E08000032,Bradford,Male,76.55
2020 to 2022,England,Local Areas,E08000032,Bradford,Female,81.1
2020 to 2022,England,Local Areas,E08000033,Calderdale,Male,77.48
2020 to 2022,England,Local Areas,E08000033,Calderdale,Female,82.17
2020 to 2022,England,Local Areas,E08000034,Kirklees,Male,77.62
2020 to 2022,England,Local Areas,E08000034,Kirklees,Female,81.55
2020 to 2022,England,Local Areas,E08000035,Leeds,Male,78.04
2020 to 2022,England,Local Areas,E08000035,Leeds,Female,82.16
2020 to 2022,England,Local Areas,E08000036,Wakefield,Male,76.98
2020 to 2022,England,Local Areas,E08000036,Wakefield,Female,80.94
2020 to 2022,England,Local Areas,E08000037,Gateshead,Male,76.65
2020 to 2022,England,Local Areas,E08000037,Gateshead,Female,81.39
2020 to 2022,England,Local Areas,E09000002,Barking and Dagenham,Male,76.26
2020 to 2022,England,Local Areas,E09000002,Barking and Dagenham,Female,80.44
2020 to 2022,England,Local Areas,E09000003,Barnet,Male,80.85
2020 to 2022,England,Local Areas,E09000003,Barnet,Female,84.93
2020 to 2022,England,Local Areas,E09000004,Bexley,Male,79.68
2020 to 2022,England,Local Areas,E09000004,Bexley,Female,83.21
2020 to 2022,England,Local Areas,E09000005,Brent,Male,78.55
2020 to 2022,England,Local Areas,E09000005,Brent,Female,84.27
2020 to 2022,England,Local Areas,E09000006,Bromley,Male,81.28
2020 to 2022,England,Local Areas,E09000006,Bromley,Female,85.01
2020 to 2022,England,Local Areas,E09000007,Camden,Male,79.19
2020 to 2022,England,Local Areas,E09000007,Camden,Female,84.52
2020 to 2022,England,Local Areas,E09000008,Croydon,Male,78.95
2020 to 2022,England,Local Areas,E09000008,Croydon,Female,83.64
2020 to 2022,England,Local Areas,E09000009,Ealing,Male,78.89
2020 to 2022,England,Local Areas,E09000009,Ealing,Female,83.96
2020 to 2022,England,Local Areas,E09000010,Enfield,Male,79.32
2020 to 2022,England,Local Areas,E09000010,Enfield,Female,84.09
2020 to 2022,England,Local Areas,E09000011,Greenwich,Male,78.16
2020 to 2022,England,Local Areas,E09000011,Greenwich,Female,82.15
2020 to 2022,England,Local Areas,E09000012,Hackney,Male,76.71
2020 to 2022,England,Local Areas,E09000012,Hackney,Female,81.79
2020 to 2022,England,Local Areas,E09000013,Hammersmith and Fulham,Male,77.58
2020 to 2022,England,Local Areas,E09000013,Hammersmith and Fulham,Female,83.12
2020 to 2022,England,Local Areas,E09000014,Haringey,Male,78.46
2020 to 2022,England,Local Areas,E09000014,Haringey,Female,83.96
2020 to 2022,England,Local Areas,E09000015,Harrow,Male,80.79
2020 to 2022,England,Local Areas,E09000015,Harrow,Female,84.92
2020 to 2022,England,Local Areas,E09000016,Havering,Male,79.08
2020 to 2022,England,Local Areas,E09000016,Havering,Female,82.79
2020 to 2022,England,Local Areas,E09000017,Hillingdon,Male,78.9
2020 to 2022,England,Local Areas,E09000017,Hillingdon,Female,83.45
2020 to 2022,England,Local Areas,E09000018,Hounslow,Male,78.99
2020 to 2022,England,Local Areas,E09000018,Hounslow,Female,83.47
2020 to 2022,England,Local Areas,E09000019,Islington,Male,77.96
2020 to 2022,England,Local Areas,E09000019,Islington,Female,82.61
2020 to 2022,England,Local Areas,E09000020,Kensington and Chelsea,Male,80.67
2020 to 2022,England,Local Areas,E09000020,Kensington and Chelsea,Female,86.34
2020 to 2022,England,Local Areas,E09000021,Kingston upon Thames,Male,81.1
2020 to 2022,England,Local Areas,E09000021,Kingston upon Thames,Female,84.67
2020 to 2022,England,Local Areas,E09000022,Lambeth,Male,77.94
2020 to 2022,England,Local Areas,E09000022,Lambeth,Female,82.86
2020 to 2022,England,Local Areas,E09000023,Lewisham,Male,77.89
2020 to 2022,England,Local Areas,E09000023,Lewisham,Female,82.59
2020 to 2022,England,Local Areas,E09000024,Merton,Male,79.67
2020 to 2022,England,Local Areas,E09000024,Merton,Female,84.43
2020 to 2022,England,Local Areas,E09000025,Newham,Male,76.48
2020 to 2022,England,Local Areas,E09000025,Newham,Female,81.57
2020 to 2022,England,Local Areas,E09000026,Redbridge,Male,79.04
2020 to 2022,England,Local Areas,E09000026,Redbridge,Female,83.47
2020 to 2022,England,Local Areas,E09000027,Richmond upon Thames,Male,82.37
2020 to 2022,England,Local Areas,E09000027,Richmond upon Thames,Female,85.84
2020 to 2022,England,Local Areas,E09000028,Southwark,Male,78.37
2020 to 2022,England,Local Areas,E09000028,Southwark,Female,83.24
2020 to 2022,England,Local Areas,E09000029,Sutton,Male,79.8
2020 to 2022,England,Local Areas,E09000029,Sutton,Female,83.92
2020 to 2022,England,Local Areas,E09000030,Tower Hamlets,Male,77.04
2020 to 2022,England,Local Areas,E09000030,Tower Hamlets,Female,81.15
2020 to 2022,England,Local Areas,E09000031,Waltham Forest,Male,78.49
2020 to 2022,England,Local Areas,E09000031,Waltham Forest,Female,83
2020 to 2022,England,Local Areas,E09000032,Wandsworth,Male,79.8
2020 to 2022,England,Local Areas,E09000032,Wandsworth,Female,84.18
2020 to 2022,England,Local Areas,E09000033,Westminster,Male,80.29
2020 to 2022,England,Local Areas,E09000033,Westminster,Female,84.73
2020 to 2022,Northern Ireland,Local Areas,N09000001,Antrim and Newtownabbey,Male,78.72
2020 to 2022,Northern Ireland,Local Areas,N09000001,Antrim and Newtownabbey,Female,82.52
2020 to 2022,Northern Ireland,Local Areas,N09000002,"Armagh City, Banbridge and Craigavon",Male,78.77
2020 to 2022,Northern Ireland,Local Areas,N09000002,"Armagh City, Banbridge and Craigavon",Female,82.82
2020 to 2022,Northern Ireland,Local Areas,N09000003,Belfast,Male,75.8
2020 to 2022,Northern Ireland,Local Areas,N09000003,Belfast,Female,80.37
2020 to 2022,Northern Ireland,Local Areas,N09000004,Causeway Coast and Glens,Male,79.13
2020 to 2022,Northern Ireland,Local Areas,N09000004,Causeway Coast and Glens,Female,82.65
2020 to 2022,Northern Ireland,Local Areas,N09000005,Derry City and Strabane,Male,77.52
2020 to 2022,Northern Ireland,Local Areas,N09000005,Derry City and Strabane,Female,81.52
2020 to 2022,Northern Ireland,Local Areas,N09000006,Fermanagh and Omagh,Male,79.03
2020 to 2022,Northern Ireland,Local Areas,N09000006,Fermanagh and Omagh,Female,82.78
2020 to 2022,Northern Ireland,Local Areas,N09000007,Lisburn and Castlereagh,Male,80.43
2020 to 2022,Northern Ireland,Local Areas,N09000007,Lisburn and Castlereagh,Female,83.08
2020 to 2022,Northern Ireland,Local Areas,N09000008,Mid and East Antrim,Male,78.33
2020 to 2022,Northern Ireland,Local Areas,N09000008,Mid and East Antrim,Female,82.46
2020 to 2022,Northern Ireland,Local Areas,N09000009,Mid Ulster,Male,78.88
2020 to 2022,Northern Ireland,Local Areas,N09000009,Mid Ulster,Female,83.07
2020 to 2022,Northern Ireland,Local Areas,N09000010,"Newry, Mourne and Down",Male,78.9
2020 to 2022,Northern Ireland,Local Areas,N09000010,"Newry, Mourne and Down",Female,82.57
2020 to 2022,Northern Ireland,Local Areas,N09000011,Ards and North Down,Male,80.01
2020 to 2022,Northern Ireland,Local Areas,N09000011,Ards and North Down,Female,82.87
2020 to 2022,Wales,Local Areas,W06000001,Isle of Anglesey / Ynys Môn,Male,78.62
2020 to 2022,Wales,Local Areas,W06000001,Isle of Anglesey / Ynys Môn,Female,82.44
2020 to 2022,Wales,Local Areas,W06000002,Gwynedd / Gwynedd,Male,79.21
2020 to 2022,Wales,Local Areas,W06000002,Gwynedd / Gwynedd,Female,83.13
2020 to 2022,Wales,Local Areas,W06000003,Conwy / Conwy,Male,78.48
2020 to 2022,Wales,Local Areas,W06000003,Conwy / Conwy,Female,82.63
2020 to 2022,Wales,Local Areas,W06000004,Denbighshire / Sir Ddinbych,Male,77.45
2020 to 2022,Wales,Local Areas,W06000004,Denbighshire / Sir Ddinbych,Female,81.03
2020 to 2022,Wales,Local Areas,W06000005,Flintshire / Sir y Fflint,Male,78.58
2020 to 2022,Wales,Local Areas,W06000005,Flintshire / Sir y Fflint,Female,82.07
2020 to 2022,Wales,Local Areas,W06000006,Wrexham / Wrecsam,Male,77.23
2020 to 2022,Wales,Local Areas,W06000006,Wrexham / Wrecsam,Female,81.2
2020 to 2022,Wales,Local Areas,W06000008,Ceredigion / Ceredigion,Male,79.12
2020 to 2022,Wales,Local Areas,W06000008,Ceredigion / Ceredigion,Female,83.17
2020 to 2022,Wales,Local Areas,W06000009,Pembrokeshire / Sir Benfro,Male,78.57
2020 to 2022,Wales,Local Areas,W06000009,Pembrokeshire / Sir Benfro,Female,83.04
2020 to 2022,Wales,Local Areas,W06000010,Carmarthenshire / Sir Gaerfyrddin,Male,78.31
2020 to 2022,Wales,Local Areas,W06000010,Carmarthenshire / Sir Gaerfyrddin,Female,81.81
2020 to 2022,Wales,Local Areas,W06000011,Swansea / Abertawe,Male,76.88
2020 to 2022,Wales,Local Areas,W06000011,Swansea / Abertawe,Female,81.46
2020 to 2022,Wales,Local Areas,W06000012,Neath Port Talbot / Castell-nedd Port Talbot,Male,76.65
2020 to 2022,Wales,Local Areas,W06000012,Neath Port Talbot / Castell-nedd Port Talbot,Female,80.52
2020 to 2022,Wales,Local Areas,W06000013,Bridgend / Pen-y-bont ar Ogwr,Male,77.38
2020 to 2022,Wales,Local Areas,W06000013,Bridgend / Pen-y-bont ar Ogwr,Female,81.58
2020 to 2022,Wales,Local Areas,W06000014,Vale of Glamorgan / Bro Morgannwg,Male,79.64
2020 to 2022,Wales,Local Areas,W06000014,Vale of Glamorgan / Bro Morgannwg,Female,83.26
2020 to 2022,Wales,Local Areas,W06000015,Cardiff / Caerdydd,Male,78.08
2020 to 2022,Wales,Local Areas,W06000015,Cardiff / Caerdydd,Female,82.26
2020 to 2022,Wales,Local Areas,W06000016,Rhondda Cynon Taf / Rhondda Cynon Taf,Male,76.92
2020 to 2022,Wales,Local Areas,W06000016,Rhondda Cynon Taf / Rhondda Cynon Taf,Female,80.69
2020 to 2022,Wales,Local Areas,W06000018,Caerphilly / Caerffili,Male,76.66
2020 to 2022,Wales,Local Areas,W06000018,Caerphilly / Caerffili,Female,80.45
2020 to 2022,Wales,Local Areas,W06000019,Blaenau Gwent / Blaenau Gwent,Male,75.74
2020 to 2022,Wales,Local Areas,W06000019,Blaenau Gwent / Blaenau Gwent,Female,78.88
2020 to 2022,Wales,Local Areas,W06000020,Torfaen / Tor-faen,Male,77.34
2020 to 2022,Wales,Local Areas,W06000020,Torfaen / Tor-faen,Female,80.8
2020 to 2022,Wales,Local Areas,W06000021,Monmouthshire / Sir Fynwy,Male,80.31
2020 to 2022,Wales,Local Areas,W06000021,Monmouthshire / Sir Fynwy,Female,83.63
2020 to 2022,Wales,Local Areas,W06000022,Newport / Casnewydd,Male,77.39
2020 to 2022,Wales,Local Areas,W06000022,Newport / Casnewydd,Female,81.09
2020 to 2022,Wales,Local Areas,W06000023,Powys / Powys,Male,79.47
2020 to 2022,Wales,Local Areas,W06000023,Powys / Powys,Female,83.41
2020 to 2022,Wales,Local Areas,W06000024,Merthyr Tydfil / Merthyr Tudful,Male,76.06
2020 to 2022,Wales,Local Areas,W06000024,Merthyr Tydfil / Merthyr Tudful,Female,79.44
