Location,Premise type,Rurality,Speed,% Premises,Premises,Date
England,Commercial,Total,>=24 Mbit/s,91.9,1543165,Jul-25
England,Commercial,Total,>=30 Mbit/s,91.2,1531529,Jul-25
England,Commercial,Total,>=100 Mbit/s,71.9,1206323,Jul-25
England,Commercial,Total,>=300 Mbit/s,71,1191916,Jul-25
England,Commercial,Total,Full Fibre,68.5,1149721,Jul-25
England,Commercial,Total,Gigabit capable,69.9,1173170,Jul-25
England,Commercial,Urban,Premise Base,100,1417485,Jul-25
England,Commercial,Urban,Unclassified,1.2,17677,Jul-25
England,Commercial,Urban,<2 Mbit/s,0.1,1391,Jul-25
England,Commercial,Urban,<10 Mbit/s DL or <1 Mbit/s UL,2.6,37150,Jul-25
England,Commercial,Urban,>=10 Mbit/s,97.6,1383085,Jul-25
England,Commercial,Urban,>=24 Mbit/s,94.2,1334568,Jul-25
England,Commercial,Urban,>=30 Mbit/s,93.9,1330795,Jul-25
England,Commercial,Urban,>=100 Mbit/s,77.3,1095949,Jul-25
England,Commercial,Urban,>=300 Mbit/s,76.4,1082342,Jul-25
England,Commercial,Urban,Full Fibre,73.4,1041118,Jul-25
England,Commercial,Urban,Gigabit capable,75.1,1064021,Jul-25
England,Commercial,Rural,Premise Base,100,261186,Jul-25
England,Commercial,Rural,Unclassified,1.2,3200,Jul-25
England,Commercial,Rural,<2 Mbit/s,2.2,5733,Jul-25
England,Commercial,Rural,<10 Mbit/s DL or <1 Mbit/s UL,11.2,29271,Jul-25
England,Commercial,Rural,>=10 Mbit/s,89.3,233237,Jul-25
England,Commercial,Rural,>=24 Mbit/s,79.9,208597,Jul-25
England,Commercial,Rural,>=30 Mbit/s,76.9,200734,Jul-25
England,Commercial,Rural,>=100 Mbit/s,42.3,110374,Jul-25
England,Commercial,Rural,>=300 Mbit/s,42,109574,Jul-25
England,Commercial,Rural,Full Fibre,41.6,108603,Jul-25
England,Commercial,Rural,Gigabit capable,41.8,109149,Jul-25
Northern Ireland,All,Total,Premise Base,100,888530,Jul-25
Northern Ireland,All,Total,Unclassified,0.2,1989,Jul-25
Northern Ireland,All,Total,<2 Mbit/s,0.3,2477,Jul-25
Northern Ireland,All,Total,<10 Mbit/s DL or <1 Mbit/s UL,0.9,7607,Jul-25
Northern Ireland,All,Total,>=10 Mbit/s,99.2,881090,Jul-25
Northern Ireland,All,Total,>=24 Mbit/s,98.6,876442,Jul-25
Northern Ireland,All,Total,>=30 Mbit/s,98.5,874801,Jul-25
Northern Ireland,All,Total,>=100 Mbit/s,94.2,837361,Jul-25
