laua,laua_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4,5G_SA_high_confidence_prem_out_0,5G_SA_high_confidence_prem_out_1,5G_SA_high_confidence_prem_out_2,5G_SA_high_confidence_prem_out_3,5G_SA_high_confidence_prem_out_4,5G_SA_high_confidence_geo_out_0,5G_SA_high_confidence_geo_out_1,5G_SA_high_confidence_geo_out_2,5G_SA_high_confidence_geo_out_3,5G_SA_high_confidence_geo_out_4,5G_SA_very_high_confidence_prem_out_0,5G_SA_very_high_confidence_prem_out_1,5G_SA_very_high_confidence_prem_out_2,5G_SA_very_high_confidence_prem_out_3,5G_SA_very_high_confidence_prem_out_4,5G_SA_very_high_confidence_geo_out_0,5G_SA_very_high_confidence_geo_out_1,5G_SA_very_high_confidence_geo_out_2,5G_SA_very_high_confidence_geo_out_3,5G_SA_very_high_confidence_geo_out_4
E06000002,Middlesbrough,70558,5386,758,,576,,,2.26,97.74,,0.07,32.86,67.07,,,4.03,95.97,,,28.1,71.9,,,,,,,26.56,73.44,,99.87,0.13,,,,100,,,,,99.81,0.19,,,,100,,,,,,,,,,100,,,,,,,0,100,,,0.39,5.31,94.3,,,,0.13,99.87,,,1.06,6.86,92.08,,,,,,,,0.35,6.6,93.06,,,,0,100,,,0.38,4.49,95.13,,,,0.13,99.87,,,0.79,6.2,93.01,,,,,,,,0.17,5.73,94.1,,,0.01,2.5,97.49,,,1.56,11.07,87.37,,0.19,7.93,28.05,63.83,0.02,2.04,16.08,30.65,51.21,,0.06,99.94,,,0.04,1.36,98.61,,,0.14,0.95,98.9,,,1.08,5.27,93.65,,
S12000019,Midlothian,45971,35534,2528,,1490,0.07,0.09,4.21,95.63,0.58,1.98,26.86,70.59,4.24,3.66,21.19,70.92,4.39,7.83,30.7,57.08,,,,,1.68,5.37,30.74,62.21,0.01,56.91,43.08,,,0.13,81.67,18.2,,,0.88,63.24,35.89,,,0.87,84.26,14.87,,,,,,,,0.6,83.42,15.97,,,0.01,0.08,0.06,0.44,99.4,0.14,0.21,1.04,9.83,88.78,2.05,1.46,2.28,8.07,86.14,0.71,1.78,4.55,16.69,76.27,,,,,,0.2,0.6,2.68,12.68,83.83,0.01,0,0.09,0.4,99.5,0.03,0.13,0.66,5.54,93.64,0.73,1.47,2.34,8.2,87.27,0.28,0.67,3.76,13.53,81.76,,,,,,0.13,0.07,1.68,9.6,88.52,0.35,1.62,13.79,24.46,59.77,17.62,15.83,23.99,17.28,25.28,2.89,7.95,32.47,30.83,25.86,33.98,22.38,22.86,11.33,9.44,14.61,12.02,64.31,9.06,,33.62,24.14,34.18,8.05,,25.59,30.49,42.33,1.58,,51.16,24.03,23.88,0.94,
E06000042,Milton Keynes,132546,30855,1489,230,1323,,0.09,7.49,92.43,0.25,3.83,35.79,60.14,0,0.58,9.56,89.85,0.54,4.57,30.76,64.14,,0.43,15.22,84.35,0.15,1.89,27.51,70.45,,38.56,61.44,,,,73.84,26.16,,,,40.7,59.3,,,,80.05,19.95,,,,46.09,53.91,,,,73.32,26.68,,,,,0.02,0.19,99.79,0,0.32,1.59,6.01,92.08,,,0.07,1.02,98.91,0.2,1.41,2.89,14.78,80.73,,,,3.04,96.96,,0.45,1.36,11.64,86.55,,,0.02,0.18,99.81,,0.1,1.06,5.61,93.23,,,0.06,0.75,99.19,,1.01,2.62,11.28,85.09,,,,0.87,99.13,,,0.83,8.47,90.7,0.28,4.04,5.34,19.05,71.3,4.31,20.07,17.45,18.52,39.65,1.27,7.32,24.36,44.36,22.69,15.2,25.97,23.73,22.59,12.52,0.79,5.4,23.9,69.92,,7.76,26.21,23.05,42.98,,3.2,16.34,47.51,32.95,,24.99,31.38,24.5,19.13,
E07000210,Mole Valley,40911,25830,1209,126,988,0.18,0.7,4.97,94.16,3.25,4.89,23.06,68.81,4.49,7.31,23.3,64.9,6.78,8.11,27.87,57.24,,,23.02,76.98,0.91,4.25,29.76,65.08,0,43.62,56.38,,,0.22,64.57,35.21,,,0.05,50.06,49.89,,,0.33,74.94,24.73,,,,73.81,26.19,,,,70.14,29.86,,,0.03,0.11,0.16,1.04,98.65,1.08,1.23,2.65,17.17,77.87,0.79,1.87,3.28,7.14,86.91,3.64,3.47,9.35,15.14,68.4,,,,13.49,86.51,0.1,,6.17,16.5,77.23,0,0.05,0.13,0.99,98.82,0.16,1.22,1.79,8.1,88.73,0.03,0.84,2.44,7.9,88.79,0.33,3.8,9.43,14.39,72.04,,,,12.7,87.3,,0.1,3.74,14.68,81.48,13.34,29.51,20.92,30.17,6.07,32.59,23.01,18.98,16.86,8.56,30.02,29.83,22.51,16.44,1.2,58.09,19.9,12.51,7.63,1.87,44.03,29.69,23.18,3.1,,55.93,25.92,15.24,2.9,,60.73,29.11,10.15,0.01,,79.25,17.76,2.93,0.07,
W06000021,Monmouthshire,46725,85053,3684,248,2115,1.52,1.73,4.88,91.86,6.42,5.7,19.75,68.12,9.71,9.05,15.87,65.37,21.17,9.88,22.1,46.85,0.81,4.84,13.71,80.65,5.63,7.57,22.03,64.78,0.65,34.37,64.98,,,3.03,56.76,40.21,,,5.83,51.47,42.7,,,12.02,54.99,32.98,,,,68.95,31.05,,,1.51,60.61,37.87,,,0.3,0.69,0.88,2.05,96.08,2.1,2.42,4.54,9.19,81.75,1.73,4.77,4.99,8.81,79.71,7.41,7.44,8.9,12.62,63.63,,,1.61,13.71,84.68,1.75,2.22,4.78,11.68,79.57,0.15,0.4,0.72,1.9,96.83,1.28,1.89,2.62,7.63,86.58,1.03,3.15,3.98,8.6,83.24,5.32,5.84,7.33,11.89,69.63,,,,6.45,93.55,0.76,1.42,3.26,8.75,85.82,4.52,18.08,33.85,22.62,20.93,28.44,31.69,23.91,12.56,3.4,9.39,29.65,27.44,23.12,10.4,44.77,36.07,11.6,6.8,0.77,11.53,45.2,33.86,9.41,,40.03,35.94,19.92,4.11,,28.31,35.81,33.26,2.62,,59.16,29.9,9.46,1.49,
S12000020,Moray,51368,223741,6859,,3206,0.53,1.24,15.44,82.79,3.88,8.72,42.65,44.75,15.54,10.79,29.6,44.07,19.84,16.75,34.92,28.49,,,,,18.75,12.69,34.44,34.12,0.06,49.39,50.55,,,0.92,74.26,24.82,,,4.63,69.44,25.94,,,6.66,74.24,19.1,,,,,,,,6.05,72.05,21.9,,,0.01,0.29,0.54,4.4,94.76,0.52,2.22,6.13,17.52,73.62,5,5.43,6.23,10.9,72.44,3.41,8.14,13.38,19.7,55.37,,,,,,2.25,7.99,13.13,19.37,57.27,0,0.02,0.46,2.94,96.57,0.2,1.25,4.99,13.91,79.66,2.89,3.72,6.09,12.39,74.92,1.68,4.75,11.55,21.02,61,,,,,,0.69,4.8,11.04,19.96,63.51,13.15,20.78,28.58,37.49,,49,29.42,13.04,8.54,,22.45,31.61,31.08,14.86,,65.02,22.69,8.06,4.23,,33.58,66.42,,,,82.58,17.42,,,,54.51,45.49,,,,91.38,8.62,,,
S12000013,Na h-Eileanan Siar,17675,297163,6066,,4077,1.56,7.46,19.34,71.65,12.16,22.24,23.52,42.07,10.24,8.51,25.55,55.69,14.29,18.51,32.95,34.24,,,,,12.56,17.51,30.19,39.74,1.89,83.56,14.55,,,6.73,87.94,5.33,,,4.09,93.35,2.56,,,9.71,87.34,2.95,,,,,,,,8.78,88.91,2.31,,,0.07,0.63,3.63,6.52,89.15,2.47,5.24,13.99,17.17,61.14,4.23,3.87,6.03,13.01,72.85,2.52,9.38,13.2,24.33,50.56,,,,,,1.55,7.82,13.02,24.23,53.37,0.07,0.16,1.23,6.59,91.95,0.96,3.55,10.36,21.89,63.24,2.06,3.14,5.09,14.31,75.39,1.06,6.05,11.36,28.42,53.12,,,,,,0.59,3.95,10.42,28.5,56.54,72.92,26.93,0.15,,,86.24,13.44,0.33,,,80.09,19.89,0.02,,,91.27,8.57,0.16,,,100,,,,,100,,,,,100,,,,,100,,,,
W06000012,Neath Port Talbot,69544,44230,2555,291,2061,0.1,0.39,4.26,95.25,1.44,4.66,16.42,77.48,4.75,6.81,17.12,71.32,3.52,8.06,22.43,65.99,1.03,2.75,21.65,74.57,3.4,6.7,23.68,66.23,0,23.98,76.02,,,0.44,40.59,58.97,,,1.81,39.63,58.56,,,1.17,50.72,48.1,,,,23.02,76.98,,,1.36,49.3,49.34,,,0,0.07,0.13,1.36,98.45,0.41,0.71,1.62,8.54,88.72,0.78,1.64,4.72,9.48,83.38,0.59,1.88,4.7,14.76,78.08,,0.34,3.78,9.28,86.6,0.68,2.13,4.42,13.15,79.62,0,0,0.02,0.82,99.16,0.29,0.16,0.76,3.75,95.04,0.35,0.9,2.45,7.57,88.72,0.39,0.82,1.88,10.29,86.61,,,,8.59,91.41,0.49,1.02,1.75,10.09,86.66,2.53,42.88,45.15,9.45,,12.79,34.82,40.75,11.64,0,5.17,74.66,20.07,0.1,,27.67,48.87,22.41,1.05,,13.18,66.37,20.45,,,42.28,40.52,17.2,,,19.16,79.8,1.05,,,55.04,41.42,3.54,,
E07000091,New Forest,88636,75332,3104,101,1827,0.18,0.54,9.94,89.34,3.17,9.88,28.49,58.46,6.65,9.49,30.16,53.71,15.21,12.92,30.03,41.85,,,38.61,61.39,9.3,8.05,33.06,49.59,0,47.46,52.54,,,0.54,76.47,22.99,,,0.33,53.45,46.23,,,2.48,75,22.52,,,,47.52,52.48,,,0.82,73.4,25.78,,,0.03,0.08,0.16,0.88,98.86,0.55,0.95,5.62,12.16,80.73,0.59,3.62,4.75,10.88,80.16,3.64,7.38,9.92,16.3,62.76,,,,11.88,88.12,2.52,3.39,6.73,14.94,72.41,,0.03,0.09,0.44,99.43,0.19,0.48,1.93,8.79,88.61,0.12,0.67,3.95,11.5,83.75,1.26,3.48,8.83,16.46,69.97,,,,11.88,88.12,0.66,2.19,4.65,13.52,78.98,4.3,27.43,39.23,17.36,11.69,30,34.38,23.13,7.9,4.59,14.66,40.01,31.71,10.43,3.18,47.81,35.93,12.13,3.15,0.98,72.26,26.9,0.84,,,80.87,17.18,1.96,,,95.28,4.69,0.03,,,92.98,6.84,0.18,,
E07000175,Newark and Sherwood,61897,65120,2715,,2141,0.13,0.8,7.69,91.38,4.64,10.29,29.97,55.09,0.99,3.62,15.46,79.93,7.7,11.64,26.45,54.22,,,,,8.17,12.47,26.76,52.59,,6.94,93.06,,,0.3,48.18,51.52,,,0,13.92,86.08,,,0.33,44.31,55.36,,,,,,,,0.42,44.93,54.65,,,,0,0.2,2.28,97.52,0.74,2.58,5.22,17.82,73.64,0,0.16,0.9,4.4,94.53,0.96,4.35,8.14,17.61,68.95,,,,,,1.03,4.53,9.48,17.61,67.35,,,0.04,0.82,99.14,0.08,1.18,2.74,12.78,83.22,,0,0.26,3.84,95.9,,1.29,4.46,16.17,78.08,,,,,,,1.63,5.09,17.28,75.99,4.53,8.47,34.92,51.95,0.14,9.4,19.58,45.02,25.59,0.41,8.91,19.96,46.91,24.2,0.02,22.84,34.14,35.51,7.49,0.02,26.07,72.9,1.03,,,34.28,63.46,2.22,0.04,,45.74,54.17,0.09,,,67.46,32.31,0.23,,
E08000021,Newcastle upon Tyne,144755,11343,1588,32,1122,,,1.19,98.81,0.22,1.85,21.25,76.68,,0.02,4.09,95.89,0.57,2.08,18.95,78.4,,,,100,,1.96,16.76,81.28,,50.39,49.61,,,,74.25,25.75,,,,27.46,72.54,,,,67.38,32.62,,,,96.88,3.13,,,,70.94,29.06,,,,,,,100,,0.01,0.44,0.99,98.56,,,,0.19,99.81,,,0.63,3.21,96.16,,,,,100,,,0.09,2.58,97.33,,,,,100,,0.01,0.07,0.85,99.07,,,,,100,,,,1.83,98.17,,,,,100,,,,0.45,99.55,,,1.31,14.54,84.15,0.04,0.34,4.83,23.18,71.62,0.02,1.16,11.97,45.09,41.76,0.99,6.79,22.39,40.95,28.88,0.27,99.7,0.03,,,1.14,98.84,0.03,,,6.05,93.95,,,,16.11,83.89,,,
E07000195,Newcastle-under-Lyme,61785,21103,1643,190,1263,0.02,0.07,2.82,97.08,0.56,3.21,26.86,69.37,1.46,2.47,8.83,87.23,4.44,6.76,23.98,64.82,,,17.37,82.63,2.93,5.94,22.88,68.25,,28.95,71.05,,,0.06,65.53,34.41,,,0.1,36.75,63.15,,,0.3,72.92,26.78,,,,39.47,60.53,,,0.16,67.22,32.62,,,,0,0.03,0.15,99.82,0.04,0.09,0.62,9.65,89.6,0.12,0.14,0.68,2.23,96.83,0.12,1.16,3.96,11.81,82.96,,,1.05,10,88.95,,0.63,3.88,11.72,83.77,,,0,0.13,99.87,0.01,0.04,0.28,7.19,92.49,0.06,0.09,0.2,1.8,97.85,,0.3,1.95,8.89,88.86,,,,4.74,95.26,,,1.9,7.68,90.42,3.47,1.51,9.94,45.93,39.15,15.84,16.8,15.55,28.61,23.2,4.78,6.11,27.15,49.5,12.45,25.69,20.26,20.02,27.58,6.45,4.8,5.06,78.53,11.6,,32.55,15.95,43.64,7.85,,7.15,14.18,77.77,0.89,,44.02,19.63,35.33,1.02,
E09000025,Newham,137908,3625,751,,609,,,3.06,96.94,,0.01,23.13,76.86,,,1.96,98.04,,,17.98,82.02,,,,,,,19.05,80.95,,49.66,50.34,,,,77.84,22.16,,,,42.95,57.05,,,,73.37,26.63,,,,,,,,,69.29,30.71,,,,,,,100,,,,1.42,98.58,,,,,100,,,,0.27,99.73,,,,,,,,,0.33,99.67,,,,,100,,,,1.42,98.58,,,,,100,,,,0.27,99.73,,,,,,,,,0.33,99.67,,,,,100,,,,0.03,99.97,,,,20.86,79.14,,,,20.36,79.64,,,,100,,,,,100,,,,0.07,99.93,,,,0.08,99.92,
W06000022,Newport,75188,19064,1275,352,1055,0.01,0.25,3.38,96.36,0.59,2.23,23.24,73.94,0.05,0.34,6.03,93.59,1.96,3.22,21.8,73.02,,0.85,12.78,86.36,1.04,2.56,21.9,74.5,,65.58,34.42,,,0.06,87.25,12.7,,,0.01,74.92,25.07,,,0.16,91.84,8,,,,87.78,12.22,,,0.19,92.32,7.49,,,,0.02,0.05,0.14,99.8,0.05,0.47,0.48,3.39,95.61,,0.01,0.07,0.76,99.16,,1.65,1.1,5.33,91.92,,,0.28,3.98,95.74,,0.76,1.14,5.4,92.7,,,0.02,0.1,99.88,,0.07,0.51,2.7,96.72,,,0.02,0.48,99.5,,0.08,1.96,3.06,94.9,,,0.28,3.41,96.31,,0.09,1.23,4.27,94.41,,0.64,2.7,26.86,69.79,0.21,6.07,13.1,33.83,46.78,0.85,7.52,14.81,40.19,36.63,3.77,24.36,24.33,29.74,17.8,0.12,1.54,92.13,6.21,,0.34,8.13,71.31,20.22,,1.47,12.47,84.26,1.8,,4.82,31.85,53.29,10.03,
N09000010,"Newry, Mourne and Down",78729,163780,7692,,4134,2.99,5.13,21.31,70.57,14.58,12.43,31.74,41.25,8.87,7.48,22.51,61.14,24.32,17.55,29.52,28.6,,,,,18.34,17.08,30.16,34.42,0.35,99.65,,,,4.42,95.58,,,,2.22,97.77,0.01,,,8.7,91.3,,,,,,,,,6.56,93.44,,,,0.87,0.95,1.61,6.2,90.38,4.68,5.84,8.84,20.58,60.06,3.67,2.9,3.95,9.6,79.88,8.22,9.93,11.83,19.98,50.04,,,,,,5.39,7.96,10.76,17.37,58.51,0.23,0.78,1.42,6.01,91.55,2.26,4.27,8.69,21.94,62.83,1.62,2.68,3.79,9.43,82.48,4.93,6.4,11.75,22.41,54.51,,,,,,3.7,3.65,10.74,18.75,63.16,7.74,51.9,32.66,7.69,0,15.4,43.5,36.03,5.01,0.06,14.02,55.88,26.52,3.58,,24.75,44.28,29.62,1.34,,16.59,83.4,0.01,,,29.66,70.16,0.17,,,28.02,71.98,0,,,46.11,53.88,0,,
S12000021,North Ayrshire,74055,88272,3713,,1898,0.08,2.3,3.99,93.63,1.03,5.08,31.96,61.93,13.33,13.06,14.87,58.74,8.08,13.76,25.67,52.49,,,,,7.11,16.23,22.92,53.74,0.73,47,52.27,,,2.22,63.98,33.8,,,8.6,58.71,32.7,,,8.78,62.81,28.41,,,,,,,,12.75,58.8,28.45,,,0.02,0.02,1.5,1.02,97.43,0.07,0.34,3.8,6.97,88.82,5.82,4.28,8.25,10.92,70.73,4.15,2.07,10.32,12.09,71.37,,,,,,3.74,1.84,12.43,9.91,72.08,0.02,0.01,0.66,1.06,98.26,0.05,0.23,2.67,4.64,92.4,4.37,3.16,6.13,9.59,76.76,3.64,1.05,7.16,8.73,79.42,,,,,,3.48,0.84,9.91,5.9,79.87,5.31,11.8,47.47,28.12,7.31,49.05,19.76,17.22,11.1,2.86,11.34,33.64,44.81,9.02,1.2,57.33,26,13.37,3,0.3,52.72,45.75,1.54,,,78.5,19.31,2.19,,,71.66,28.29,0.05,,,91.72,8.17,0.11,,
E07000043,North Devon,53830,108617,4024,,2329,1.37,2.83,17.58,78.23,7.44,11.08,32.24,49.24,7.65,9.74,18.06,64.56,15.31,18.84,29.95,35.91,,,,,10.43,15.16,29.28,45.13,0.67,67.19,32.14,,,3.62,83.61,12.77,,,3.51,72.17,24.33,,,10.91,76.74,12.35,,,,,,,,9.53,76.3,14.17,,,0.36,0.89,1.02,2.44,95.29,3.05,3.81,6.87,13.28,72.99,2.02,4.29,6.19,9.08,78.41,5.49,11.56,12.38,18.76,51.81,,,,,,3.26,8.07,11.29,17.39,59.98,0.09,0.52,0.9,2.01,96.49,1.28,2.73,6,11.74,78.25,0.73,2.68,4.77,9.4,82.41,3.11,7.93,11.18,18.61,59.17,,,,,,2.49,4.21,9.75,17.05,66.51,19.26,36.51,37.98,6.25,,57.83,31.29,7.19,3.69,,28.52,54.35,16.23,0.9,,68.95,26.49,3.84,0.71,,83.8,16.2,,,,93.02,6.98,,,,90.78,9.22,,,,97.66,2.34,,,
E07000038,North East Derbyshire,51240,27570,2052,85,989,0.2,0.57,5.77,93.46,4.22,10.08,30.3,55.41,1.27,3.04,11.82,83.88,8.09,12.43,28.61,50.88,,,27.06,72.94,4.15,9.91,27.1,58.85,0.03,47.63,52.34,,,0.39,68.91,30.69,,,0.06,44.53,55.41,,,2.73,75.39,21.88,,,,14.12,85.88,,,0.1,62.79,37.11,,,0.03,0.11,0.1,0.31,99.45,0.58,0.68,4.85,13.37,80.52,0.09,0.6,1.13,3.54,94.64,2.83,2.68,6.04,16.86,71.59,,,1.18,12.94,85.88,,1.21,5.36,17.8,75.63,0.01,0.04,0.11,0.26,99.57,0.18,0.45,1.68,10.6,87.09,0.01,0.12,1.04,3.1,95.73,2.14,1.41,4.82,13.6,78.02,,,,5.88,94.12,,0.3,3.94,11.22,84.53,0.81,1.62,36.62,41.88,19.07,2.81,7.64,34.34,39.4,15.81,3.85,17.88,54.97,18.43,4.87,9.47,21.66,50.85,16.08,1.95,3.17,36.15,46.96,13.73,,8.07,39.19,43.45,9.29,,21.11,43.74,30.56,4.6,,26.91,42.13,29.44,1.52,
E06000012,North East Lincolnshire,76309,19197,1460,,1103,0.05,0.22,1.11,98.62,1.93,7.82,20.3,69.95,0.65,1.73,6.36,91.26,2.53,7.74,22.4,67.33,,,,,0.82,6.8,20.94,71.44,,18.38,81.62,,,0.19,59.28,40.53,,,,35.03,64.97,,,0.14,62.47,37.4,,,,,,,,,64.55,35.45,,,,0.06,0.03,0.2,99.71,0.2,0.89,4,7.72,87.18,0.08,0.48,0.8,1.72,96.91,0.48,1.37,4.11,12.12,81.92,,,,,,0.18,0.63,2.54,9.79,86.85,,,0.08,0.09,99.83,0.08,0.22,1.05,6.36,92.29,,0.08,0.69,1.78,97.45,,0.75,3.01,8.42,87.81,,,,,,,0.36,1.36,6.17,92.11,0.16,0.16,6.95,67.39,25.34,5.51,3.88,30.61,48.8,11.2,0.22,7.89,41.89,46.32,3.67,9.79,14.22,48.05,24.69,3.26,5.74,94.25,0.01,0,,18.72,81.12,0.16,0.01,,26.54,73.46,,,,52.41,47.59,,,
E07000099,North Hertfordshire,62984,37540,1564,165,963,,0.11,1.59,98.3,0.74,3.46,17.31,78.49,0.14,1.24,9.48,89.13,3.45,5.43,21.48,69.63,,,11.52,88.48,1.14,1.77,19.31,77.78,,15.86,84.14,,,0.07,54.29,45.64,,,,29.28,70.72,,,,59.4,40.6,,,,32.73,67.27,,,,60.23,39.77,,,,,0.01,0.39,99.6,0.14,0.54,2.95,16.55,79.82,0.01,0.08,0.36,2.45,97.11,0.9,3.13,5.24,15.73,75,,,,4.24,95.76,,1.35,2.08,12.98,83.59,,,,0.17,99.83,0,0.41,1.37,10.56,87.65,,0.02,0.28,1.96,97.73,,1.85,4.16,13.24,80.75,,,,4.24,95.76,,,1.66,10.59,87.75,2.27,4.22,30.53,45.25,17.73,5.99,17.36,35.19,25.39,16.07,4.66,19.46,43.33,27.48,5.07,19.05,28.72,35.94,12.36,3.93,3.98,95.13,0.88,0.01,,13.84,82.13,4.01,0.03,,15.69,84.15,0.15,,,38.27,61.37,0.36,,
E07000139,North Kesteven,57864,92241,3527,,1804,0.1,1.08,11.19,87.63,6.21,22.43,38.11,33.25,0.3,1.81,15.43,82.46,9.1,23.45,32.38,35.07,,,,,8.54,18.18,35.42,37.86,,77.92,22.08,,,0.2,92.96,6.83,,,0.01,50.23,49.76,,,0.28,87.13,12.59,,,,,,,,0.39,86.47,13.14,,,,,0.08,1.62,98.3,0.51,2.7,10.89,18.83,67.06,,0.03,0.22,1.51,98.25,0.23,2.78,12.79,26.79,57.41,,,,,,0.06,1.83,11.14,26.05,60.92,,,0.01,1.32,98.67,0.01,0.81,5.61,21.59,71.98,,,0.08,1.18,98.75,,0.48,6.44,26.62,66.46,,,,,,,0.11,6.82,22.95,70.12,8.83,13.62,30.36,27.68,19.51,5.58,28.43,47.95,14.25,3.79,19.6,14.41,38.65,21.28,6.05,30.52,30.61,32.45,5.2,1.23,15.94,84.06,,,,19.69,80.31,,,,39.94,60.06,,,,58.75,41.25,,,
S12000050,North Lanarkshire,169147,47230,3549,717,2505,0.03,0.05,4.64,95.28,0.39,2.84,34.15,62.62,3.52,3.94,16.91,75.63,3.27,4.65,33.9,58.19,0.28,0.98,27.89,70.85,0.64,2.36,31.5,65.51,0,71.25,28.75,,,0.03,87.88,12.09,,,0.36,68.66,30.98,,,0.99,86.48,12.54,,,,81.31,18.69,,,,84.99,15.01,,,,0.01,0.02,0.16,99.81,0.03,0.27,0.69,5.28,93.74,0.09,0.99,2.11,5.18,91.63,0.34,2.34,2.34,10.03,84.95,,,0.42,14.64,84.94,,0.04,0.8,10.66,88.5,,,0.01,0.13,99.85,0.01,0.04,0.45,2.4,97.1,0.01,0.16,1.32,4.93,93.58,0.2,1.16,1.72,7.04,89.88,,,,8.23,91.77,,,0.04,6.27,93.69,3.82,21.03,28.15,31.61,15.4,13.39,33.67,23.26,19.24,10.44,15.51,36.27,34,12.73,1.49,36.8,34.53,20.68,7.18,0.81,45.72,34.8,11.4,8.08,,58.61,25.71,8.34,7.33,,70.96,22.22,4.48,2.34,,81.54,13.03,3.2,2.23,
E06000013,North Lincolnshire,82570,84530,3849,497,2439,0.05,0.61,8.75,90.58,4.11,7.86,32.84,55.2,0.41,1.13,11.53,86.93,4.94,11.77,30.79,52.51,0.6,2.82,19.32,77.26,1.19,5.37,27.88,65.56,,38.71,61.29,,,0.03,64.74,35.23,,,,26.9,73.1,,,0.42,67.34,32.24,,,,26.16,73.84,,,,58.43,41.57,,,,,0.08,2.8,97.12,0.63,1.53,6.52,13.13,78.2,,0.12,0.23,2.12,97.53,0.65,2.26,5.95,18.55,72.59,,,1.01,6.44,92.56,,0.45,3.08,12.63,83.85,,,0.05,1.1,98.84,0.01,1.11,4.45,10.32,84.11,,,0.19,1.31,98.5,0.26,0.88,4.42,16.08,78.36,,,,5.84,94.16,,,2.01,9.8,88.19,3.14,12.22,22.44,21.85,40.35,2.19,17.92,35.78,30.58,13.54,10.15,20.31,26.87,22.74,19.92,16.82,34.08,34.48,12.2,2.43,12.18,78.55,7.4,1.88,,17.15,67.35,10.39,5.11,,32.29,66.63,1.04,0.04,,48.52,45.91,5.05,0.52,
