"Table C2: Number of police recorded crimes for headline offences by Community Safety Partnership area, England and Wales, year ending June 2025 [note 1][note 2][note 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Police recorded crime from the Home Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police Force
Area code","Police Force
Area name","Community Safety
Partnership code","Community Safety
Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)",Violence against the person,Homicide,Death or serious injury caused by illegal driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000013,Cleveland,,,,,"70,565 ","25,664 ",3 ,13 ,"6,871 ","10,348 ","8,429 ","2,796 ",965 ,"20,320 ","3,699 ","2,735 ",964 ,"3,447 ",259 ,457 ,"8,176 ","4,282 ","8,862 ","2,969 ",733 ,"5,922 ","2,334 "
E23000013,Cleveland,E22000027,Hartlepool,E06000001,Hartlepool,"13,044 ","4,626 ",0 ,7 ,"1,262 ","1,819 ","1,538 ",531 ,158 ,"4,302 ",629 ,425 ,204 ,503 ,40 ,77 ,"2,317 ",736 ,"1,348 ",467 ,138 ,997 ,477 
E23000013,Cleveland,E22000029,Middlesbrough,E06000002,Middlesbrough,"23,005 ","8,291 ",1 ,3 ,"2,249 ","3,632 ","2,406 ",866 ,416 ,"6,189 ","1,214 ",938 ,276 ,"1,355 ",110 ,175 ,"2,071 ","1,264 ","3,080 ","1,107 ",246 ,"2,083 ",727 
E23000013,Cleveland,E22000028,Redcar and Cleveland,E06000003,Redcar and Cleveland,"14,535 ","5,156 ",1 ,1 ,"1,355 ","1,883 ","1,916 ",547 ,150 ,"4,285 ",894 ,656 ,238 ,516 ,36 ,72 ,"1,844 ",923 ,"2,093 ",510 ,129 ,"1,216 ",449 
E23000013,Cleveland,E22000030,Stockton-on-Tees,E06000004,Stockton-on-Tees,"19,961 ","7,585 ",1 ,2 ,"2,005 ","3,013 ","2,564 ",847 ,241 ,"5,543 ",962 ,716 ,246 ,"1,073 ",73 ,133 ,"1,943 ","1,359 ","2,339 ",883 ,220 ,"1,625 ",678 
E23000013,Cleveland,,Unassigned Cleveland,,,20 ,6 ,0 ,0 ,0 ,1 ,5 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,2 ,0 ,1 ,3 
E23000002,Cumbria,,,,,"36,869 ","16,646 ",4 ,73 ,"4,556 ","6,718 ","5,295 ","1,796 ",122 ,"6,972 ",972 ,619 ,353 ,795 ,120 ,248 ,"2,511 ","2,326 ","3,769 ","1,978 ",503 ,"3,931 ","1,152 "
E23000002,Cumbria,E22000031,Allerdale,E07000026,Allerdale,"6,405 ","2,963 ",0 ,12 ,785 ,"1,183 ",983 ,292 ,20 ,"1,198 ",187 ,118 ,69 ,142 ,22 ,22 ,445 ,380 ,689 ,276 ,82 ,700 ,185 
E23000002,Cumbria,E22000032,Barrow-In-Furness,E07000027,Barrow-In-Furness,"6,063 ","2,881 ",0 ,9 ,836 ,"1,187 ",849 ,259 ,18 ,"1,008 ",156 ,91 ,65 ,97 ,17 ,46 ,381 ,311 ,677 ,269 ,96 ,607 ,248 
E23000002,Cumbria,E22000033,Carlisle,E07000028,Carlisle,"10,078 ","4,389 ",0 ,8 ,"1,159 ","1,805 ","1,417 ",445 ,44 ,"2,042 ",185 ,130 ,55 ,246 ,33 ,103 ,920 ,555 ,"1,004 ",548 ,139 ,"1,161 ",306 
E23000002,Cumbria,E22000034,Copeland,E07000029,Copeland,"4,666 ","2,225 ",0 ,7 ,581 ,873 ,764 ,271 ,13 ,680 ,136 ,107 ,29 ,81 ,8 ,17 ,143 ,295 ,506 ,204 ,51 ,562 ,154 
E23000002,Cumbria,E22000035,Eden,E07000030,Eden,"3,245 ","1,322 ",4 ,9 ,362 ,510 ,437 ,162 ,10 ,747 ,80 ,36 ,44 ,78 ,9 ,13 ,234 ,333 ,312 ,242 ,48 ,321 ,81 
E23000002,Cumbria,E22000036,South Lakeland,E07000031,South Lakeland,"5,655 ","2,546 ",0 ,25 ,755 ,"1,060 ",706 ,287 ,16 ,"1,193 ",217 ,132 ,85 ,139 ,21 ,44 ,355 ,417 ,544 ,310 ,79 ,524 ,156 
E23000002,Cumbria,,Unassigned Cumbria,,,757 ,320 ,0 ,3 ,78 ,100 ,139 ,80 ,1 ,104 ,11 ,5 ,6 ,12 ,10 ,3 ,33 ,35 ,37 ,129 ,8 ,56 ,22 
E23000018,Derbyshire,,,,,"84,038 ","35,908 ",11 ,26 ,"9,598 ","13,041 ","13,232 ","3,705 ",574 ,"20,622 ","3,010 ","2,041 ",969 ,"3,618 ",567 ,427 ,"7,099 ","5,901 ","7,493 ","3,100 ",950 ,"9,757 ","1,929 "
E23000018,Derbyshire,E22000037,Amber Valley,E07000032,Amber Valley,"8,419 ","3,912 ",1 ,2 ,910 ,"1,370 ","1,629 ",399 ,39 ,"1,563 ",276 ,204 ,72 ,325 ,44 ,23 ,650 ,245 ,873 ,300 ,120 ,"1,011 ",202 
E23000018,Derbyshire,E22000038,Bolsover,E07000033,Bolsover,"5,572 ","2,569 ",1 ,3 ,687 ,837 ,"1,041 ",266 ,23 ,"1,116 ",228 ,140 ,88 ,336 ,20 ,13 ,332 ,187 ,571 ,168 ,70 ,632 ,157 
E23000018,Derbyshire,E22000039,Chesterfield,E07000034,Chesterfield,"9,934 ","4,525 ",0 ,3 ,"1,274 ","1,605 ","1,643 ",447 ,67 ,"2,096 ",359 ,209 ,150 ,374 ,66 ,25 ,"1,008 ",264 ,896 ,320 ,109 ,"1,264 ",210 
E23000018,Derbyshire,E22000040,Derby,E06000015,Derby,"28,352 ","12,139 ",6 ,2 ,"3,373 ","4,948 ","3,810 ","1,266 ",310 ,"6,355 ",968 ,630 ,338 ,"1,276 ",290 ,262 ,"2,747 ",812 ,"2,362 ","1,407 ",388 ,"3,530 ",595 
E23000018,Derbyshire,E22000041,Derbyshire Dales,E07000035,Derbyshire Dales,"2,970 ","1,254 ",0 ,9 ,389 ,385 ,471 ,167 ,7 ,617 ,156 ,103 ,53 ,112 ,14 ,12 ,204 ,119 ,307 ,115 ,31 ,362 ,110 
E23000018,Derbyshire,E22000042,Erewash,E07000036,Erewash,"8,085 ","3,537 ",3 ,3 ,928 ,"1,297 ","1,306 ",361 ,62 ,"1,876 ",291 ,200 ,91 ,315 ,29 ,37 ,999 ,205 ,813 ,219 ,67 ,952 ,198 
E23000018,Derbyshire,E22000043,High Peak,E07000037,High Peak,"5,014 ","2,211 ",0 ,1 ,580 ,711 ,919 ,214 ,28 ,"1,066 ",245 ,192 ,53 ,216 ,28 ,20 ,429 ,128 ,536 ,140 ,41 ,670 ,108 
E23000018,Derbyshire,E22000044,North East Derbyshire,E07000038,North East Derbyshire,"5,141 ","2,500 ",0 ,0 ,683 ,772 ,"1,045 ",207 ,19 ,915 ,246 ,182 ,64 ,232 ,23 ,16 ,250 ,148 ,558 ,118 ,44 ,641 ,139 
E23000018,Derbyshire,E22000045,South Derbyshire,E07000039,South Derbyshire,"6,148 ","2,765 ",0 ,1 ,704 ,"1,038 ","1,022 ",305 ,13 ,"1,369 ",219 ,169 ,50 ,407 ,50 ,17 ,462 ,214 ,540 ,275 ,71 ,635 ,175 
E23000018,Derbyshire,,Unassigned Derbyshire,,,"4,403 ",496 ,0 ,2 ,70 ,78 ,346 ,73 ,6 ,"3,649 ",22 ,12 ,10 ,25 ,3 ,2 ,18 ,"3,579 ",37 ,38 ,9 ,60 ,35 
E23000035,Devon and Cornwall,,,,,"121,216 ","52,772 ",13 ,74 ,"15,478 ","22,080 ","15,127 ","6,847 ",656 ,"29,231 ","3,742 ","2,335 ","1,407 ","3,147 ",881 ,603 ,"11,565 ","9,293 ","13,781 ","4,756 ","1,595 ","8,645 ","2,933 "
E23000035,Devon and Cornwall,E22000356,Cornwall,E06000052,Cornwall,"34,897 ","15,621 ",6 ,24 ,"4,731 ","6,112 ","4,748 ","2,080 ",152 ,"7,795 ","1,020 ",639 ,381 ,808 ,215 ,104 ,"2,780 ","2,868 ","4,427 ","1,077 ",432 ,"2,525 ",788 
E23000035,Devon and Cornwall,E22000362,East and Mid Devon,Combined Local Authorities,,"10,997 ","5,134 ",4 ,11 ,"1,374 ","2,060 ","1,685 ",702 ,54 ,"2,262 ",469 ,300 ,169 ,247 ,57 ,49 ,588 ,852 ,"1,304 ",331 ,136 ,772 ,302 
E23000035,Devon and Cornwall,E22000049,Exeter,E07000041,Exeter,"13,751 ","5,088 ",0 ,8 ,"1,568 ","2,381 ","1,131 ",693 ,110 ,"4,652 ",399 ,225 ,174 ,247 ,120 ,206 ,"2,709 ",971 ,"1,209 ",501 ,170 ,996 ,332 
E23000035,Devon and Cornwall,E22000050,Isles of Scilly,E06000053,Isles of Scilly,59 ,28 ,0 ,0 ,17 ,5 ,6 ,5 ,0 ,10 ,2 ,0 ,2 ,1 ,1 ,0 ,3 ,3 ,9 ,4 ,0 ,0 ,3 
