House of Commons General Election 2024 results by constituency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Note 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS ID,ONS region ID,Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,
E14001123,E12000007,Brent West,London,England,Borough,Barry,Gardiner,Male,Lab hold,Lab,Con,"80,027","41,376",199,"3,793","13,465","17,258","3,013","2,061","2,805",0,0,0,0,0,0,0,"2,774",0,
E14001124,E12000007,Brentford and Isleworth,London,England,Borough,Ruth,Cadbury,Female,Lab hold,Lab,Con,"79,423","45,254",219,"9,824","10,183","20,007","3,863","3,940","4,029",0,0,0,0,0,0,0,"3,232",0,
E14001125,E12000006,Brentwood and Ongar,East of England,England,County,Alex,Burghart,Male,Con hold,Con,RUK,"75,352","48,332",169,"5,980","17,731","11,082","5,809","11,751","1,770",0,0,0,0,0,0,0,189,0,
W07000086,W92000004,Bridgend,Wales,Wales,County,Chris,Elmore,Male,Lab gain from Con,Lab,RUK,"73,168","41,374",108,"8,595","6,764","16,516","1,446","7,921","1,760",0,"3,629",0,0,0,0,0,"3,338",0,
E14001126,E12000009,Bridgwater,South West,England,County,Ashley,Fox,Male,Con hold,Con,Lab,"71,571","40,129",149,"1,349","12,281","10,932","5,781","8,913","1,720",0,0,0,0,0,0,0,502,0,
E14001127,E12000003,Bridlington and The Wolds,Yorkshire and The Humber,England,County,Charlie,Dewhirst,Male,Con hold,Con,Lab,"74,438","42,937",140,"3,125","14,846","11,721","3,097","10,350","1,595",0,0,0,0,0,0,0,"1,328",0,
E14001128,E12000003,Brigg and Immingham,Yorkshire and The Humber,England,County,Martin,Vickers,Male,Con hold,Con,Lab,"73,099","42,508",168,"3,243","15,905","12,662","1,442","10,594","1,905",0,0,0,0,0,0,0,0,0,
E14001129,E12000008,Brighton Kemptown and Peacehaven,South East,England,Borough,Chris,Ward,Male,Lab hold,Lab,Con,"68,784","40,686",557,"9,663","8,230","17,893","3,949",0,"7,997",0,0,0,0,0,0,0,"2,617",0,
E14001130,E12000008,Brighton Pavilion,South East,England,Borough,Siân,Berry,Female,Green hold,Green,Lab,"74,786","52,363",209,"14,290","3,975","14,519","1,604","2,836","28,809",0,0,0,0,0,0,0,620,0,
E14001131,E12000009,Bristol Central,South West,England,Borough,Carla,Denyer,Female,Green gain from Lab,Green,Lab,"62,735","43,365",165,"10,407","1,998","14,132","1,162","1,338","24,539",0,0,0,0,0,0,0,196,0,
E14001132,E12000009,Bristol East,South West,England,Borough,Kerry,McCarthy,Female,Lab hold,Lab,Green,"75,917","46,109",845,"6,606","6,435","20,748","2,713",0,"14,142",0,0,0,0,0,0,0,"2,071",0,
E14001133,E12000009,Bristol North East,South West,England,Borough,Damien,Egan,Male,Lab hold,Lab,Green,"70,076","41,989",160,"11,167","6,216","19,004","1,964","5,418","7,837",0,0,0,0,0,0,0,"1,550",0,
E14001134,E12000009,Bristol North West,South West,England,Borough,Darren,Jones,Male,Lab hold,Lab,Green,"74,869","48,464",264,"15,669","6,773","24,058","4,159","4,863","8,389",0,0,0,0,0,0,0,222,0,
E14001135,E12000009,Bristol South,South West,England,Borough,Karin,Smyth,Female,Lab hold,Lab,Green,"75,533","43,403",179,"7,666","4,947","18,521","2,721","6,195","10,855",0,0,0,0,0,0,0,164,0,
E14001136,E12000006,Broadland and Fakenham,East of England,England,County,Jerome,Mayhew,Male,Con hold,Con,Lab,"76,863","49,513",192,719,"16,322","15,603","5,526","8,859","3,203",0,0,0,0,0,0,0,0,0,
E14001137,E12000007,Bromley and Biggin Hill,London,England,Borough,Peter,Fortune,Male,Con hold,Con,Lab,"70,713","46,788",173,302,"15,929","15,627","4,352","8,203","2,583",0,0,0,0,0,0,0,94,0,
E14001138,E12000005,Bromsgrove,West Midlands,England,County,Bradley,Thomas,Male,Con hold,Con,Lab,"76,468","50,405",140,"3,016","16,533","13,517","7,391","9,584","1,675",0,0,0,0,0,0,0,"1,705",0,
E14001139,E12000006,Broxbourne,East of England,England,County,Lewis,Cocking,Male,Con hold,Con,Lab,"75,210","42,952",142,"2,858","15,810","12,952","2,688","8,782","2,461",0,0,0,0,0,0,0,259,0,
E14001140,E12000004,Broxtowe,East Midlands,England,County,Juliet,Campbell,Female,Lab gain from Con,Lab,Con,"70,440","47,838",165,"8,403","11,158","19,561","3,807","8,402","3,488",0,0,0,0,0,0,0,"1,422",0,
E14001141,E12000008,Buckingham and Bletchley,South East,England,County,Callum,Anderson,Male,Lab gain from Con,Lab,Con,"74,832","47,641",206,"2,421","15,181","17,602","4,300","7,468","2,590",0,0,0,0,0,0,0,500,0,
E14001142,E12000002,Burnley,North West,England,County,Oliver,Ryan,Male,Lab gain from Con,Lab,LD,"74,954","39,719",130,"3,420","8,058","12,598","9,178","7,755","1,518",0,0,0,0,0,0,0,612,0,
E14001143,E12000005,Burton and Uttoxeter,West Midlands,England,County,Jacob,Collier,Male,Lab gain from Con,Lab,Con,"77,994","45,627",161,"2,266","13,956","16,222","1,663","9,611","2,119",0,0,0,0,0,0,0,"2,056",0,
